Country,Cumulative_Cases,Date,Recovered,Deaths,,,,,
Slovenia,1,2003-03-21,0,0,,,,,
Spain,1,2003-03-21,0,0,,,,,
Switzerland,7,2003-03-21,0,0,,,,,
"Taiwan, China",6,2003-03-21,0,0,,,,,
Thailand,4,2003-03-21,0,0,,,,,
United Kingdom,2,2003-03-21,0,0,,,,,
United States,13,2003-03-21,0,0,,,,,
Viet Nam,62,2003-03-21,0,2,,,,,
Total,350,2003-03-21,0,10,,,,,
Canada,9,2003-03-22,0,2,,,,,
Germany,2,2003-03-22,0,0,,,,,
Hong Kong Special Administrative Region of China,222,2003-03-22,0,7,,,,,
Italy,2,2003-03-22,0,0,,,,,
Republic of Ireland,1,2003-03-22,0,0,,,,,
Singapore,44,2003-03-22,0,0,,,,,
Slovenia,1,2003-03-22,0,0,,,,,
Spain,1,2003-03-22,0,0,,,,,
Switzerland,7,2003-03-22,0,0,,,,,
"Taiwan, China",6,2003-03-22,0,0,,,,,
Thailand,4,2003-03-22,0,0,,,,,
United Kingdom,2,2003-03-22,0,0,,,,,
United States,22,2003-03-22,0,0,,,,,
Viet Nam,63,2003-03-22,0,2,,,,,
Total,386,2003-03-22,0,11,,,,,
Canada,11,2003-03-24,0,3,,,,,
France,1,2003-03-24,0,0,,,,,
Germany,4,2003-03-24,0,0,,,,,
Hong Kong Special Administrative Region of China,260,2003-03-24,0,10,,,,,
Italy,2,2003-03-24,0,0,,,,,
Republic of Ireland,1,2003-03-24,0,0,,,,,
Singapore,65,2003-03-24,0,0,,,,,
Spain,1,2003-03-24,0,0,,,,,
Switzerland,2,2003-03-24,0,0,,,,,
"Taiwan, China",6,2003-03-24,0,0,,,,,
Thailand,5,2003-03-24,0,0,,,,,
United Kingdom,3,2003-03-24,0,0,,,,,
United States,37,2003-03-24,0,0,,,,,
Viet Nam,58,2003-03-24,0,4,,,,,
Total,456,2003-03-24,0,17,,,,,
Canada,11,2003-03-25,0,3,,,,,
France,1,2003-03-25,0,0,,,,,
Germany,4,2003-03-25,0,0,,,,,
Hong Kong Special Administrative Region of China,286,2003-03-25,0,10,,,,,
Italy,2,2003-03-25,0,0,,,,,
Republic of Ireland,1,2003-03-25,0,0,,,,,
Singapore,69,2003-03-25,0,0,,,,,
Switzerland,2,2003-03-25,0,0,,,,,
"Taiwan, China",6,2003-03-25,0,0,,,,,
Thailand,5,2003-03-25,0,0,,,,,
United Kingdom,3,2003-03-25,0,0,,,,,
United States,39,2003-03-25,0,0,,,,,
Viet Nam,58,2003-03-25,0,4,,,,,
Total,487,2003-03-25,0,17,,,,,
Canada,19,2003-03-26,0,3,,,,,
"China, Guangdong Province+",792,2003-03-26,0,31,,,,,
"China, Hong Kong Special Administrative Region",316,2003-03-26,0,10,,,,,
"China, Taiwan",6,2003-03-26,0,0,,,,,
France,1,2003-03-26,0,0,,,,,
Germany,4,2003-03-26,0,0,,,,,
Italy,3,2003-03-26,0,0,,,,,
Republic of Ireland,2,2003-03-26,0,0,,,,,
Singapore,74,2003-03-26,0,1,,,,,
Switzerland,2,2003-03-26,0,0,,,,,
Thailand,3,2003-03-26,0,0,,,,,
United Kingdom,3,2003-03-26,0,0,,,,,
United States,40,2003-03-26,0,0,,,,,
Viet Nam,58,2003-03-26,0,4,,,,,
Total,1323,2003-03-26,0,49,,,,,
Canada,28,2003-03-27,0,3,,,,,
China,806,2003-03-27,0,34,,,,,
"China, Hong Kong Special Administrative Region",367,2003-03-27,0,10,,,,,
"China, Taiwan",6,2003-03-27,0,0,,,,,
France,1,2003-03-27,0,0,,,,,
Germany,4,2003-03-27,0,0,,,,,
Italy,2,2003-03-27,0,0,,,,,
Republic of Ireland,2,2003-03-27,0,0,,,,,
Romania,3,2003-03-27,0,0,,,,,
Singapore,78,2003-03-27,0,2,,,,,
Switzerland,2,2003-03-27,0,0,,,,,
Thailand,3,2003-03-27,0,0,,,,,
United Kingdom,3,2003-03-27,0,0,,,,,
United States,45,2003-03-27,0,0,,,,,
Viet Nam,58,2003-03-27,0,4,,,,,
Total,1408,2003-03-27,0,53,,,,,
Canada,29,2003-03-28,0,3,,,,,
China,806,2003-03-28,0,34,,,,,
"China, Hong Kong Special Administrative Region",425,2003-03-28,0,10,,,,,
"China, Taiwan",10,2003-03-28,0,0,,,,,
France,1,2003-03-28,0,0,,,,,
Germany,4,2003-03-28,0,0,,,,,
Italy,2,2003-03-28,0,0,,,,,
Republic of Ireland,2,2003-03-28,0,0,,,,,
Romania,3,2003-03-28,0,0,,,,,
Singapore,86,2003-03-28,0,2,,,,,
Switzerland,2,2003-03-28,0,0,,,,,
Thailand,3,2003-03-28,0,0,,,,,
United Kingdom,3,2003-03-28,0,0,,,,,
United States,51,2003-03-28,0,0,,,,,
Viet Nam,58,2003-03-28,0,4,,,,,
Total,1485,2003-03-28,0,53,,,,,
Canada,37,2003-03-29,0,3,,,,,
China,806,2003-03-29,0,34,,,,,
"China, Hong Kong Special Administrative Region",470,2003-03-29,0,10,,,,,
"China, Taiwan",10,2003-03-29,0,0,,,,,
France,1,2003-03-29,0,0,,,,,
Germany,4,2003-03-29,0,0,,,,,
Italy,2,2003-03-29,0,0,,,,,
Republic of Ireland,2,2003-03-29,0,0,,,,,
Romania,3,2003-03-29,0,0,,,,,
Singapore,89,2003-03-29,0,2,,,,,
Switzerland,3,2003-03-29,0,0,,,,,
Thailand,3,2003-03-29,0,1,,,,,
United Kingdom,3,2003-03-29,0,0,,,,,
United States,59,2003-03-29,0,0,,,,,
Viet Nam,58,2003-03-29,0,4,,,,,
Total,1550,2003-03-29,0,54,,,,,
Canada,44,2003-03-31,0,4,,,,,
China,806,2003-03-31,0,34,,,,,
"China, Hong Kong Special Administrative Region",530,2003-03-31,0,13,,,,,
"China, Taiwan",10,2003-03-31,0,0,,,,,
France,1,2003-03-31,0,0,,,,,
Germany,5,2003-03-31,0,0,,,,,
Italy,2,2003-03-31,0,0,,,,,
Republic of Ireland,2,2003-03-31,0,0,,,,,
Romania,3,2003-03-31,0,0,,,,,
Singapore,91,2003-03-31,0,2,,,,,
Switzerland,3,2003-03-31,0,0,,,,,
Thailand,5,2003-03-31,0,1,,,,,
United Kingdom,3,2003-03-31,0,0,,,,,
United States,59,2003-03-31,0,0,,,,,
Viet Nam,58,2003-03-31,0,4,,,,,
Total,1622,2003-03-31,0,58,,,,,
Australia,1,2003-04-01,0,0,,,,,
Belgium,1,2003-04-01,0,0,,,,,
